Oid,BookNameRu,BookImage,File
00369809-50eb-45b4-bb5d-7e347f7c65fa,"",cf3d7362-fbaf-40cf-ab11-0c31066e45f1,e6207afd-63de-4a0d-8da2-7493d3da3fdb
004eac62-710d-4339-b40c-9ab49719008d,"Детская патопсихология. Нарушения психики ребенка.",152a5308-b155-4a64-bc2d-19d5e140a0e9,2b040b46-58af-495d-9d4f-34676a11c25d
0064a0fd-6b78-45ba-a204-2ee403106a00,"Нарушения развития костно-суставного аппарата. Выпуск XX.",c4d4c0c9-e276-4f7c-956e-6a9afdd6a764,1316303e-bbcd-47e6-ba7e-d60180fab2d1
008b1a73-2c68-4f23-9067-5bfbab33242b,"Гипертоническая энцефалопатии.",ebfeb2d5-dcac-48f3-be71-1fd9b80f9fc2,5934a3f7-5f93-4a61-a396-5c995495222e
00c33420-0bdb-4e40-ba7e-99f254694426,"СБОРНИК ТЕЗИСОВ XXIV КОНГРЕССА ПЕДИАТРОВ РОССИИ.ПРОБЛЕМЫ ПЕДИАТРИИ",0a728e70-4e7a-4243-a6ea-039b1a86bebc,8c61ec54-b281-4ff2-95d8-619ee961064e
00e39e49-819d-4f5d-9dc8-92749abe6037,"Артефакты в ультразвуковой диагностике. ",69b36256-aeb8-42f5-9a7c-7eae0d390999,d5734de2-a0f3-45f6-9003-bb03d6e1d60e
00fd4b63-e29e-4746-8454-6f1df9493a89,"Большая энциклопедия психологических тестов.",591bd833-007a-4c9e-8d4b-550e423da0aa,fdce10d2-7509-46ad-b16f-37ca6f5648d4
018914f4-2b8a-401c-a179-f4cdff7400e9,"",1bf0a303-7b92-437e-8a99-3a2f98abd19d,2d004071-1f73-45cd-a631-b17ae6840cd0
01970b52-b357-434e-a37f-200ce75af8dd,"Микрососудистая восстановительная хирургия.",667ae468-f62a-4493-a458-b3d7f6f91e95,6034e030-20fd-4744-8613-bc14f70d6cf8
025bd3ea-0956-40ff-9d3d-a7b61390a3e6,"Молекулярная биология клетки: В 3-х т. 2-е изд., перераб. М75 и доп. Т. 3",ece0afa5-6faa-4bdd-9870-5d231edfbdc6,45d57b3b-45a7-4614-8f6d-703a2a8663ec
025e0f4c-1c1d-4ae8-a55e-fc7706bec733,"Лечение болезней внутренних органов: Практ. руководство: В 3 т. Т 3. Кн. 1",0710ee86-51f8-4362-852a-fd2abae43a41,6235e910-46d5-4b92-abee-48d5b92fe0b1
02d4c1da-a572-426a-b0ce-7d75c1a82c0c,"Клиническая электрокардиография. ",ee697933-3cd1-4c8f-8841-0eece368f8e4,631b7fa8-d1f0-4103-9a7f-58ce6cf01024
0340071f-a484-4115-bba2-7ddb47456230,"",80ca3056-f3b6-493d-a8a0-d88468666e55,f5ed677f-1cc7-422f-9d17-a92f80542479
03660039-aa2d-462f-8807-a9a1255fb10c,"",93174136-2ac6-4131-82d4-b0cea4a5e7f0,2cf7a417-7929-44d5-8237-2d346f758ffa
03b3aa28-32ef-4a26-9664-a67f75c779d3,"Атлас рентгеноанатомии и укладок. руководство для врачей. 2-е изд.",3b3292e2-ac37-4cbc-830f-7913f29b5c30,ff06835f-e0b8-49ab-9c52-dadc8bfddedf
03b99ef6-4fea-4d02-a36f-b0bcdcb9701e,"КИНЕЗОТЕРАПИЯ ПОЯСНИЧНОГО ОСТЕОХОНДРОЗА. Кинезотерапия поясничного остеохондроза. ",ff6f79b9-b33f-491b-976a-ac8c3acbafed,3830537f-a7fe-4e6d-bc2f-d6e2465203ff
03ca85eb-5734-4ee6-9581-2439228e09e6,"Региональный справочник клинических рекомендаций",5598a850-dc15-4723-bcd4-53e4fac25102,848a1268-09eb-4f37-8ade-0b55e492c8a8
03e47142-22c5-480e-95fc-2df1b432239d,"ГИДРОЦЕФАЛИЯ.Учебно-методическое пособие.",10a91bfe-617c-4e3a-b5f0-0790d9345961,8f3a884f-2ed2-49ef-8ed5-bdfa3d6ace2d
0480b0b0-7a00-426f-8985-3725329178b5,"ГИДРОНЕФРОЗ",67a8cfed-cf7a-4056-bd5c-e102a230e3f2,f81db2b0-51c1-42ca-a8eb-a0685795b811
04a5134e-1c98-46c9-a979-180b01cf7b4b,"Английский язык. Грамматический практикум для фармацевтов.",5ab0e23d-780b-41f9-b9ce-28e6d04d6c89,c53d1d3e-b456-43d5-9fa8-b46b4580281d
04e4e266-0d06-4e70-a09a-13cd44b6c67c,"Аритмии и блокады сердца : атлас электрокардиограмм. 5-е изд.",6b416667-8fbb-4097-9a86-a2fb2ed5fd91,c9ef0979-5cac-413e-a35c-ec42c864ea19
05063881-8384-43d4-8ad0-0b54d4639609,"СУДЕБНО-МЕДИЦИНСКАЯ ГИСТОЛОГИЯ. Руководство для врачей.",f92b6b51-5788-40c8-8a20-a1f153ee28fe,45e84f5f-78d9-46c3-ac69-f0865aea9a60
05b64890-f315-46b7-90ef-a0f51b46844a,"Психология общения. изд.11-е.",e5d81345-1168-4a36-bd4e-2a34b32c9279,8fce3158-7f41-4906-a44f-6210afda015b
